category,min,max,mean,stddev,sum,count
223,187.0,512.0,350.444444444,122.193607762,3154.0,9
222,205.0,557.0,403.666666667,142.162817455,2422.0,6
221,370.0,530.0,465.666666667,56.3654740658,2794.0,6
220,247.0,457.0,352.375,80.9160720394,2819.0,8
11,21.0,91.0,56.0,49.4974746831,112.0,2
13,109.0,414.0,227.434782609,87.2451228577,5231.0,23
12,88.0,444.0,194.684210526,91.0354342682,3699.0,19
15,240.0,490.0,324.142857143,97.4532855123,2269.0,7
14,384.0,663.0,527.75,95.689602361,4222.0,8
17,64.0,279.0,176.923076923,70.8395623204,2300.0,13
16,169.0,426.0,291.7,96.3812452941,2917.0,10
19,62.0,341.0,172.421052632,68.3100088563,3276.0,19
18,186.0,572.0,348.3,170.060152756,3483.0,10
95,262.0,384.0,315.363636364,29.2857396262,3469.0,11
618,256.0,526.0,380.555555556,101.358412467,3425.0,9
92,223.0,428.0,320.75,62.9316006759,3849.0,12
724,289.0,384.0,345.090909091,29.3102526276,3796.0,11
89,186.0,385.0,291.0,57.7343052266,2619.0,9
1519,230.0,412.0,335.272727273,52.784639639,3688.0,11
1518,209.0,316.0,246.307692308,38.295745228,3202.0,13
720,191.0,575.0,318.153846154,107.452195692,4136.0,13
721,176.0,466.0,337.5,89.379171867,4050.0,12
1515,235.0,430.0,335.7,66.4998746866,3357.0,10
1514,272.0,421.0,343.636363636,48.3327481678,3780.0,11
1517,266.0,409.0,324.833333333,43.7842506623,3898.0,12
1516,276.0,388.0,324.272727273,32.1437113884,3567.0,11
1511,245.0,531.0,326.615384615,77.4268885913,4246.0,13
1510,216.0,409.0,320.307692308,57.8033802578,4164.0,13
1513,194.0,462.0,281.6,73.8379607278,2816.0,10
1512,237.0,373.0,298.888888889,43.1492886513,2690.0,9
151,220.0,417.0,295.166666667,55.546595237,3542.0,12
153,242.0,412.0,320.538461538,56.0262072376,4167.0,13
152,208.0,300.0,251.6,36.1484593186,2516.0,10
155,224.0,358.0,282.214285714,35.1724948732,3951.0,14
154,206.0,401.0,294.428571429,51.7786922105,4122.0,14
157,218.0,379.0,302.416666667,50.7336329781,3629.0,12
156,183.0,291.0,249.0,44.8776113446,1743.0,7
159,213.0,737.0,299.5,177.882786447,2396.0,8
158,237.0,433.0,331.7,59.1684037304,3317.0,10
816,183.0,299.0,267.1,34.2034761066,2671.0,10
322,181.0,375.0,311.555555556,64.3605296574,2804.0,9
718,124.0,485.0,324.090909091,101.343430518,3565.0,11
426,261.0,340.0,294.666666667,40.7717222267,884.0,3
87,285.0,815.0,478.785714286,135.710766293,6703.0,14
323,191.0,397.0,311.7,62.0932095053,3117.0,10
81,182.0,1019.0,503.583333333,225.274159569,6043.0,12
63,243.0,451.0,339.9,62.9946205816,3399.0,10
719,275.0,507.0,405.5,81.3160500762,2433.0,6
48,97.0,837.0,317.909090909,183.857800784,3497.0,11
49,177.0,463.0,258.714285714,99.1710883368,1811.0,7
46,215.0,431.0,306.181818182,59.3478191374,3368.0,11
47,213.0,814.0,328.416666667,155.047475623,3941.0,12
44,236.0,366.0,304.909090909,36.7952566113,3354.0,11
45,204.0,634.0,333.727272727,115.868969883,3671.0,11
42,189.0,383.0,272.9,56.7322169886,2729.0,10
43,183.0,361.0,280.0,56.493362442,3640.0,13
41,136.0,263.0,209.285714286,36.6258180721,2930.0,14
1111,102.0,396.0,297.333333333,79.5314403239,2676.0,9
1110,281.0,458.0,354.4,53.4565243913,3544.0,10
1113,250.0,393.0,336.545454545,45.427664779,3702.0,11
1112,233.0,360.0,269.8,40.6333196609,2698.0,10
1115,281.0,434.0,344.909090909,39.2337980457,3794.0,11
1114,279.0,696.0,396.142857143,138.180351439,2773.0,7
1117,286.0,408.0,324.25,38.8798515576,2594.0,8
1116,236.0,393.0,305.5,53.2107967323,3055.0,10
1119,221.0,348.0,308.555555556,39.3227386861,2777.0,9
1118,279.0,521.0,341.666666667,72.1959140118,3075.0,9
817,173.0,327.0,246.8,61.1898684424,1234.0,5
